aso_service,brand,capacity,category,color,currency,doors,drive,first_owner,fuel,generation,horse_power,mileage,model,not_crashed,origin,price,seats,source,transmission,type,url,used,year
,Opel,1.7,Osobowe,Szary,PLN,5,Na przednie koła,,Diesel,J (2009-2015),110,277777,Astra,,Niemcy,18500,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-zadbane-auto-nie-wymaga-wkladu-ID6DGx4P.html#0b79d938e2,Używane,2010
Tak,Opel,1.7,Osobowe,Biały,PLN,5,,,Diesel,J (2009-2015),110,158000,Astra,Tak,,25400,,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-serwisowany-bezwypadkowy-bogata-wersja-gps-ID6DBsOy.html#0b79d938e2,Używane,2013
,Opel,2.0,Osobowe,Niebieski,PLN,2,Na przednie koła,,Benzyna,G (1998-2009),192,316350,Astra,Tak,Polska,23700,4,Osoby prywatnej,Manualna,Coupe,https://www.otomoto.pl/oferta/opel-astra-astra-g-bertone-ampquotdecept-ampquot-280km-440nm-ID6DLt5f.html#0b79d938e2,Używane,2001
,Opel,1.4,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),140,91087,Astra,Tak,,27900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-klima-kierownica-wielofunkcyjna-grzane-fotele-pdc-ID6DHUN9.html#0b79d938e2,Używane,2010
,Opel,1.4,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Benzyna+LPG,J (2009-2015),140,160237,Astra,,Polska,31002,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-4-t-salon-polska-1-wlasciciel-gaz-vat-23-klima-tempomat-ID6DJAZ3.html#0b79d938e2,Używane,2015
,Opel,1.7,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Diesel,J (2009-2015),110,152544,Astra,,,24000,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-7-cdti-1-wlasciciel-navi-klimatronic-tempomat-parktronic-alu-ID6DKLry.html#0e0dcdce4b,Używane,2011
Tak,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),136,107295,Astra,Tak,Polska,44000,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-enjoy-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DJAZm.html#0b79d938e2,Używane,2017
Tak,Opel,1.4,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,K (2015-),150,30000,Astra,Tak,Polska,64500,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-opel-astra-1-4t-150km-nawigacja-ogrzewane-siedzenia-tempomat-ID6DHQze.html#0b79d938e2,Używane,2019
,Opel,1.4,Osobowe,Czarny,PLN,3,Na przednie koła,,Benzyna,H (2004-2014),90,143854,Astra,,,17800,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-gtc-ID6DISwy.html#0b79d938e2,Używane,2009
Tak,Opel,1.4,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Benzyna,K (2015-),150,10869,Astra,Tak,Polska,69000,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-4-150km-dynamic-4-cylindry-ekran-8-cali-od-dealera-ID6DLdvQ.html#62ae6e5d25,Używane,2018
